benchmark | originalAstranTotalArea | originalGSCLTotalArea | reduceAreaComparedToAstranTotal | reduceAreaComparedToTotal | AstranReduceAreaPercentage | GSCLReduceAreaPercentage |
tc_001_arthmetic_adder |2861.567999999939 |3208.185460000042 |155.64800000000005 |226.0210399999999 |5.4392556808016925 |7.045136349442746 |
tc_002_arthmetic_bar |5410.815999999966 |5853.660580000159 |897.5360000000005 |1163.6646599999992 |16.587812263436906 |19.87926433547959 |
tc_003_arthmetic_divisor |101710.33599997834 |112769.55053995694 |1625.0880000000009 |3736.4217999999987 |1.597760919795159 |3.3133250794292164 |
tc_004_arthmetic_hypotenuse |515782.655999744 |583136.5160600281 |10322.432000000006 |18376.83363999999 |2.0013142900262877 |3.1513776163707568 |
tc_005_arthmetic_log2 |71508.9919999968 |77947.25305998656 |1306.1119999999999 |2078.5415999999987 |1.8265003651569558 |2.6666001923126106 |
tc_006_arthmetic_max |4970.495999999911 |5748.406260000166 |251.3919999999999 |624.8681399999995 |5.057684384013274 |10.870284940507691 |
tc_007_arthmetic_multiplier |53381.12000000221 |59582.633820001196 |3758.0799999999995 |5090.719999999995 |7.04009207749827 |8.543966041143854 |
tc_008_arthmetic_sin |14909.440000000031 |16157.076119999258 |210.94400000000002 |422.6200599999997 |1.4148351648351618 |2.615696409803255 |
tc_009_arthmetic_sqrt |75016.7039999912 |83179.00177998403 |624.6400000000001 |2198.816719999998 |0.832667881542854 |2.643475724577781 |
tc_010_arthmetic_square |32233.47200000151 |36756.267600003324 |740.3520000000003 |1286.3324599999994 |2.2968422390239733 |3.499627530189934 |
tc_l4_0409 |10348.544000000113 |10875.309539999746 |805.3760000000002 |955.6296599999994 |7.782505442311416 |8.787149059851236 |
tc_l4_0412 |10600.960000000105 |11127.475519999709 |735.744 |867.7215399999991 |6.940352571842482 |7.79800897733201 |
tc_l4_0413 |10337.7920000001 |10845.439779999746 |1100.288000000001 |1291.7753399999992 |10.643355950670998 |11.910769560328788 |
tc_l4_0427 |12398.592000000135 |13206.861659999422 |917.5040000000001 |1344.198519999999 |7.40006607201842 |10.178031349198353 |
tc_l4_0428 |11922.432000000177 |12499.63375999947 |1532.9280000000012 |1783.0715399999992 |12.8575109507857 |14.2649902728036 |
tc_l4_0429 |11074.56000000016 |11628.939939999636 |1009.6640000000002 |1180.6843199999994 |9.116967175219473 |10.152983213361031 |
tc_l4_0430 |12767.744000000244 |13358.862799999337 |1013.7600000000007 |1189.7784999999994 |7.940008822231878 |8.906285795524889 |
tc_l4_0431 |12461.568000000192 |13033.001579999385 |1447.4240000000013 |1718.2050799999993 |11.615103332100576 |13.183494757161537 |
tc_l4_0432 |12022.784000000216 |12600.067599999471 |1342.4640000000009 |1566.001259999999 |11.165999488970082 |12.428514748603927 |
tc_l8_0415 |12084.224000000208 |13034.949139999711 |430.08000000000004 |510.2821799999996 |3.559020421998075 |3.9147232146393396 |
