benchmark | originalAstranTotalArea | originalGSCLTotalArea | reduceAreaComparedToAstranTotal | reduceAreaComparedToTotal | AstranReduceAreaPercentage | GSCLReduceAreaPercentage |
tc_001_arthmetic_adder |2861.5679999999384 |3208.185460000042 |67.584 |125.04491999999986 |2.3617820719270504 |3.897683645757756 |
tc_002_arthmetic_bar |5410.815999999966 |5853.660580000157 |655.3600000000006 |777.6921599999996 |12.112036336109094 |13.285569762228658 |
tc_003_arthmetic_divisor |101710.33599997836 |112769.55053995695 |252.41600000000022 |623.2900399999997 |0.2481714346121656 |0.5527112922021917 |
tc_004_arthmetic_hypotenuse |515782.65599974414 |583136.516060028 |1210.368000000001 |2988.7579199999986 |0.23466628548296933 |0.5125314292086514 |
tc_005_arthmetic_log2 |71508.9919999968 |77947.25305998656 |227.3279999999994 |787.4695199999992 |0.3179012787650672 |1.0102594884183786 |
tc_006_arthmetic_max |4970.495999999911 |5748.406260000166 |90.62400000000002 |142.0967799999999 |1.823238566131059 |2.471933499007702 |
tc_007_arthmetic_multiplier |53381.12000000221 |59582.63382000118 |335.36000000000007 |398.1954599999997 |0.6282370995587695 |0.6683079187183064 |
tc_008_arthmetic_sin |14909.440000000031 |16157.07611999926 |65.536 |113.68191999999993 |0.4395604395604386 |0.7036045331202236 |
tc_009_arthmetic_sqrt |75016.7039999912 |83179.00177998403 |624.6400000000001 |2198.816719999998 |0.832667881542854 |2.643475724577781 |
tc_010_arthmetic_square |32233.47200000151 |36756.26760000333 |153.60000000000014 |360.453 |0.476523286104559 |0.9806572417052686 |
tc_l4_0409 |10348.544000000113 |10875.309539999746 |258.56000000000006 |306.7329599999997 |2.4985157332277588 |2.8204526857081706 |
tc_l4_0412 |10600.960000000106 |11127.475519999709 |302.08000000000004 |358.3612799999996 |2.849553248007699 |3.2205083655848745 |
tc_l4_0413 |10337.7920000001 |10845.439779999746 |263.68000000000006 |325.1812999999996 |2.5506413748699677 |2.9983228582364343 |
tc_l4_0427 |12398.592000000135 |13206.861659999424 |417.79200000000003 |619.9070399999996 |3.3696729435083874 |4.693825497374269 |
tc_l4_0428 |11922.432000000175 |12499.633759999471 |294.9120000000001 |352.2335999999997 |2.4735892811130795 |2.8179513637207125 |
tc_l4_0429 |11074.56000000016 |11628.939939999635 |235.52000000000004 |279.40031999999974 |2.1266759130836497 |2.402629314809313 |
tc_l4_0430 |12767.744000000243 |13358.862799999337 |248.83200000000008 |297.19709999999975 |1.9489112563660058 |2.224718559127761 |
tc_l4_0431 |12461.568000000192 |13033.001579999385 |282.6240000000001 |337.5571999999997 |2.2679649944533122 |2.5900188680865304 |
tc_l4_0432 |12022.784000000216 |12600.06759999947 |374.7840000000001 |447.6301999999996 |3.1172813218635 |3.552601574931379 |
tc_l8_0415 |12084.224000000208 |13034.949139999711 |215.0400000000002 |255.18023999999986 |1.7795102109990388 |1.9576619537159585 |
